"","gene","Freq"
"34809","CDC42",7
"34810","CDC42BPA",7
"34813","CDC42EP1",7
"34815","CDC42EP3",7
"34816","CDC42EP4",7
"34825","CDC5L",7
"34827","CDC7",7
"34830","CDCA3",7
"34837","CDH1",7
"34839","CDH11",7
"34842","CDH15",7
"34843","CDH16",7
"34847","CDH2",7
"34849","CDH22",7
"34853","CDH3",7
"34854","CDH4",7
"34855","CDH5",7
"34856","CDH6",7
"34860","CDHR1",7
"34865","CDIPT",7
"34866","CDK1",7
"34867","CDK10",7
"34871","CDK13",7
"34872","CDK14",7
"34873","CDK16",7
"34874","CDK17",7
"34875","CDK18",7
"34876","CDK19",7
"34877","CDK2",7
"34878","CDK20",7
"34879","CDK2AP1",7
"34890","CDK6",7
"34891","CDK7",7
"34892","CDK8",7
"34893","CDK9",7
"34895","CDKL1",7
"34896","CDKL2",7
"34899","CDKL5",7
"34900","CDKN1A",7
"34901","CDKN1B",7
"34902","CDKN1C",7
"34910","CDKN2C",7
"34911","CDKN2D",7
"34914","CDO1",7
"34915","CDON",7
"34918","CDR2",7
"34919","CDR2L",7
"34921","CDS1",7
"34922","CDS2",7
"34925","CDV3",7
"34933","CDYL",7
"34935","CEACAM1",7
"34937","CEACAM21",7
"34938","CEACAM3",7
"34939","CEACAM4",7
"34947","CEBPB",7
"34949","CEBPD",7
"34951","CEBPG",7
"34960","CEL",7
"34965","CELF1",7
"34966","CELF2",7
"34968","CELF3",7
"34972","CELSR1",7
"34973","CELSR2",7
"34974","CELSR3",7
"34976","CEMIP",7
"34981","CENPB",7
"34993","CENPO",7
"35002","CEP104",7
"35007","CEP131",7
"35008","CEP135",7
"35010","CEP162",7
"35011","CEP164",7
"35014","CEP170B",7
"35017","CEP250",7
"35021","CEP350",7
"35025","CEP57",7
"35028","CEP68",7
"35055","CES2",7
"35059","CETN2",7
"35060","CETN3",7
"35061","CETP",7
"35065","CFAP20",7
"35086","CFB",7
"35087","CFD",7
"35088","CFDP1",7
"35089","CFH",7
"35099","CFLAR",7
"35102","CFTR",7
"35110","CGGBP1",7
"35113","CGREF1",7
"35114","CGRRF1",7
"35120","CHAF1A",7
"35121","CHAF1B",7
"35132","CHD1",7
"35135","CHD3",7
"35136","CHD4",7
"35137","CHD5",7
"35140","CHD8",7
"35141","CHD9",7
"35147","CHERP",7
"35149","CHGA",7
"35150","CHGB",7
"35151","CHI3L1",7
"35152","CHI3L2",7
"35157","CHIT1",7
"35158","CHKA",7
"35162","CHL1",7
"35163","CHM",7
"35165","CHMP1A",7
"35168","CHMP2A",7
"35169","CHMP2B",7
"35176","CHMP7",7
"35177","CHN1",7
"35182","CHP2",7
"35183","CHPF",7
"35187","CHRD",7
"35188","CHRDL1",7
"35193","CHRM3",7
"35202","CHRNA4",7
"35207","CHRNB1",7
"35208","CHRNB2",7
"35212","CHRNE",7
"35215","CHST1",7
"35216","CHST10",7
"35221","CHST15",7
"35222","CHST2",7
"35223","CHST3",7
"35227","CHST7",7
"35230","CHSY1",7
"35234","CHTOP",7
"35235","CHUK",7
"35238","CIAO1",7
"35241","CIAPIN1",7
"35243","CIB1",7
"35244","CIB2",7
"35245","CIC",7
"35252","CILP",7
"35255","CIR1",7
"35256","CIRBP",7
"35262","CIT",7
"35264","CITED2",7
"35266","CIZ1",7
"35268","CKAP4",7
"35269","CKAP5",7
"35270","CKB",7
"35272","CKM",7
"35275","CKMT2",7
"35280","CLASP1",7
"35281","CLASP2",7
"35282","CLASRP",7
"35284","CLC",7
"35289","CLCC1",7
"35293","CLCN3",7
"35295","CLCN4",7
"35296","CLCN5",7
"35297","CLCN6",7
"35298","CLCN7",7
"35302","CLDN10",7
"35310","CLDN18",7
"35315","CLDN3",7
"35316","CLDN4",7
"35317","CLDN5",7
"35319","CLDN7",7
"35320","CLDN8",7
"35322","CLDND1",7
"35324","CLEC10A",7
"35325","CLEC11A",7
