"","gene","Freq"
"1133","BRD4",3
"1135","BRD8",3
"1136","BRD9",3
"1139","BRF1",3
"1141","BRINP1",3
"1142","BRINP2",3
"1145","BRIX1",3
"1146","BRMS1",3
"1147","BRPF1",3
"1148","BRS3",3
"1151","BSDC1",3
"1152","BSG",3
"1153","BSN",3
"1154","BSPRY",3
"1155","BST1",3
"1156","BST2",3
"1157","BTAF1",3
"1158","BTBD1",3
"1159","BTBD2",3
"1160","BTBD3",3
"1161","BTBD7",3
"1163","BTD",3
"1166","BTG1",3
"1167","BTG2",3
"1168","BTG3",3
"1170","BTK",3
"1171","BTN1A1",3
"1172","BTN2A1",3
"1173","BTN2A2",3
"1174","BTN3A1",3
"1175","BTN3A2",3
"1176","BTN3A3",3
"1177","BTNL2",3
"1178","BTNL3",3
"1179","BTNL8",3
"1180","BTRC",3
"1183","BUB3",3
"1185","BYSL",3
"1186","BZW2",3
"1191","C10orf88",3
"1193","C11orf16",3
"1194","C11orf24",3
"1195","C11orf49",3
"1197","C11orf58",3
"1199","C11orf68",3
"1200","C11orf71",3
"1202","C11orf95",3
"1203","C12orf10",3
"1204","C12orf29",3
"1205","C12orf4",3
"1206","C12orf43",3
"1207","C12orf49",3
"1216","C14orf93",3
"1217","C15orf39",3
"1219","C16orf58",3
"1226","C17orf75",3
"1227","C17orf80",3
"1228","C18orf25",3
"1231","C19orf53",3
"1232","C19orf54",3
"1233","C19orf57",3
"1236","C19orf73",3
"1237","C1D",3
"1238","C1GALT1",3
"1239","C1GALT1C1",3
"1240","C1orf105",3
"1241","C1orf109",3
"1243","C1orf115",3
"1244","C1orf116",3
"1246","C1orf159",3
"1247","C1orf174",3
"1248","C1orf21",3
"1249","C1orf216",3
"1251","C1orf35",3
"1253","C1orf54",3
"1254","C1orf56",3
"1255","C1orf61",3
"1256","C1orf68",3
"1257","C1QA",3
"1258","C1QB",3
"1259","C1QBP",3
"1260","C1QL1",3
"1261","C1QTNF1",3
"1262","C1QTNF3",3
"1263","C1R",3
"1264","C1RL",3
"1265","C1S",3
"1266","C2",3
"1267","C20orf27",3
"1270","C21orf62",3
"1272","C22orf24",3
"1274","C22orf31",3
"1276","C2CD2",3
"1277","C2CD2L",3
"1278","C2CD3",3
"1279","C2CD5",3
"1280","C2orf42",3
"1282","C2orf49",3
"1284","C2orf68",3
"1285","C2orf72",3
"1287","C3",3
"1288","C3AR1",3
"1289","C3orf14",3
"1290","C3orf18",3
"1291","C3orf36",3
"1292","C3orf52",3
"1293","C4BPA",3
"1294","C4BPB",3
"1295","C4orf19",3
"1296","C5",3
"1299","C5orf15",3
"1300","C5orf22",3
"1305","C6",3
"1308","C6orf120",3
"1309","C6orf15",3
"1313","C6orf62",3
"1314","C7",3
"1316","C7orf26",3
"1319","C7orf69",3
"1320","C8A",3
"1321","C8B",3
"1322","C8G",3
"1325","C8orf44",3
"1327","C9orf116",3
"1328","C9orf16",3
"1330","C9orf40",3
"1331","C9orf78",3
"1332","CA1",3
"1333","CA10",3
"1334","CA11",3
"1335","CA12",3
"1336","CA14",3
"1337","CA2",3
"1339","CA4",3
"1341","CA5B",3
"1343","CA6",3
"1344","CA7",3
"1345","CA8",3
"1346","CA9",3
"1347","CAAP1",3
"1348","CAB39",3
"1349","CAB39L",3
"1350","CABIN1",3
"1351","CABP1",3
"1352","CABP2",3
"1353","CABP5",3
"1355","CACFD1",3
"1356","CACNA1A",3
"1357","CACNA1B",3
"1358","CACNA1C",3
"1359","CACNA1D",3
"1360","CACNA1E",3
"1361","CACNA1F",3
"1362","CACNA1G",3
"1363","CACNA1H",3
"1364","CACNA1I",3
"1365","CACNA1S",3
"1366","CACNA2D1",3
"1367","CACNA2D2",3
"1368","CACNA2D3",3
"1369","CACNB1",3
"1370","CACNB2",3
"1371","CACNB3",3
"1372","CACNB4",3
"1373","CACNG1",3
"1374","CACNG2",3
"1375","CACNG3",3
"1378","CACTIN",3
"1379","CACYBP",3
"1380","CAD",3
"1381","CADM1",3
"1383","CADM3-AS1",3
"1384","CADM4",3
"1386","CADPS2",3
