"","gene","Freq"
"2441","CD14",6
"2442","CD151",6
"2444","CD163",7
"2445","CD164",7
"2446","CD180",7
"2447","CD19",7
"2448","CD1A",6
"2450","CD1C",7
"2451","CD1D",6
"2452","CD1E",7
"2453","CD2",7
"2454","CD200",6
"2455","CD209",7
"2456","CD22",7
"2457","CD226",7
"2458","CD24",6
"2459","CD247",6
"2462","CD28",7
"2463","CD2AP",7
"2464","CD2BP2",6
"2465","CD300A",7
"2466","CD300C",6
"2468","CD33",7
"2469","CD34",6
"2470","CD36",7
"2472","CD38",6
"2473","CD3D",6
"2474","CD3E",6
"2476","CD3G",6
"2477","CD4",6
"2478","CD40",7
"2479","CD40LG",7
"2480","CD44",7
"2481","CD46",7
"2482","CD47",7
"2484","CD5",6
"2485","CD52",6
"2486","CD53",6
"2487","CD55",6
"2488","CD58",7
"2489","CD59",7
"2491","CD6",7
"2492","CD63",7
"2493","CD69",7
"2494","CD7",6
"2495","CD70",7
"2496","CD72",7
"2497","CD74",6
"2498","CD79A",6
"2501","CD81",7
"2502","CD83",7
"2503","CD84",7
"2504","CD86",7
"2505","CD8A",7
"2506","CD8B",7
"2508","CD9",6
"2509","CD93",6
"2510","CD96",7
"2511","CD99",6
"2512","CDA",6
"2514","CDC14A",7
"2515","CDC14B",7
"2517","CDC16",6
"2520","CDC23",7
"2521","CDC25A",7
"2522","CDC25B",7
"2523","CDC25C",6
"2524","CDC27",7
"2527","CDC34",7
"2528","CDC37",6
"2529","CDC40",7
"2530","CDC42",6
"2531","CDC42BPA",6
"2532","CDC42EP1",7
"2534","CDC42EP3",7
"2535","CDC42EP4",6
"2542","CDC5L",6
"2543","CDC6",7
"2544","CDC7",6
"2545","CDCA3",6
"2546","CDH1",6
"2547","CDH11",7
"2548","CDH12",6
"2550","CDH15",6
"2551","CDH16",6
"2554","CDH19",7
"2555","CDH2",6
"2556","CDH22",7
"2557","CDH3",7
"2558","CDH4",7
"2559","CDH5",6
"2560","CDH6",7
"2562","CDHR1",6
"2564","CDIPT",6
"2565","CDK1",6
"2566","CDK10",6
"2569","CDK13",7
"2570","CDK14",6
"2571","CDK16",6
"2572","CDK17",7
"2573","CDK18",6
"2574","CDK19",7
"2575","CDK2",6
"2576","CDK20",7
"2577","CDK2AP1",7
"2583","CDK5R1",6
"2585","CDK6",7
"2586","CDK7",6
"2587","CDK8",7
"2588","CDK9",7
"2589","CDKL1",6
"2590","CDKL2",7
"2591","CDKL5",7
"2592","CDKN1A",7
"2593","CDKN1B",6
"2594","CDKN1C",7
"2596","CDKN2B",6
"2597","CDKN2C",7
"2598","CDKN2D",7
"2600","CDO1",6
"2602","CDR2",7
"2603","CDR2L",6
"2605","CDS1",7
"2606","CDS2",6
"2608","CDT1",6
"2609","CDV3",7
"2611","CDX2",6
"2616","CDYL",6
"2617","CEACAM1",6
"2618","CEACAM21",7
"2619","CEACAM3",6
"2620","CEACAM4",6
"2621","CEACAM5",6
"2622","CEACAM6",6
"2626","CEBPB",6
"2627","CEBPD",6
"2629","CEBPG",7
"2633","CEL",6
"2638","CELF1",7
"2639","CELF2",7
"2640","CELF3",6
"2642","CELSR1",7
"2643","CELSR2",7
"2644","CELSR3",6
"2645","CEMIP",7
"2647","CENPB",6
"2652","CENPF",7
"2653","CENPI",6
"2654","CENPO",7
"2657","CENPX",6
"2658","CEP104",7
"2660","CEP131",7
"2661","CEP135",7
"2662","CEP152",6
"2663","CEP162",7
"2664","CEP164",7
"2666","CEP170",6
"2667","CEP170B",7
"2668","CEP250",6
"2669","CEP290",6
"2671","CEP350",6
"2672","CEP57",7
"2673","CEP68",7
"2683","CES2",6
"2685","CETN2",7
"2686","CETN3",6
"2687","CETP",7
"2688","CFAP20",6
"2690","CFB",6
"2691","CFD",6
"2692","CFDP1",6
"2693","CFH",6
"2701","CFLAR",6
"2704","CFTR",7
"2705","CGA",6
"2712","CGGBP1",7
"2713","CGREF1",7
"2714","CGRRF1",7
"2715","CH25H",6
"2717","CHAF1A",7
"2718","CHAF1B",6
"2719","CHD1",7
"2721","CHD2",6
"2722","CHD3",7
"2723","CHD4",6
"2724","CHD5",6
"2725","CHD8",7
"2726","CHD9",7
"2727","CHEK1",7
"2731","CHERP",6
"2732","CHGA",6
"2733","CHGB",7
"2734","CHI3L1",7
"2735","CHI3L2",6
"2736","CHIT1",7
"2737","CHKA",6
"2740","CHL1",7
"2741","CHM",7
"2742","CHML",7
"2743","CHMP1A",6
"2744","CHMP2A",6
"2745","CHMP2B",7
"2746","CHMP7",7
"2747","CHN1",6
"2750","CHP2",6
"2751","CHPF",6
"2752","CHRD",7
"2753","CHRDL1",6
"2755","CHRM3",6
"2756","CHRNA1",6
"2758","CHRNA3",6
"2759","CHRNA4",6
"2763","CHRNB1",7
"2764","CHRNB2",7
"2765","CHRNB3",6
"2766","CHRNB4",6
"2768","CHRNE",7
"2770","CHST1",7
"2771","CHST10",6
"2772","CHST15",7
"2773","CHST2",7
"2774","CHST3",6
"2775","CHST7",6
"2776","CHSY1",6
"2777","CHTOP",7
"2778","CHUK",6
"2780","CIAO1",6
"2781","CIAPIN1",7
"2782","CIB1",6
"2783","CIB2",6
"2784","CIC",6
"2785","CIITA",7
"2787","CILP",6
"2788","CIR1",6
"2789","CIRBP",7
"2791","CIT",6
"2793","CITED2",7
"2794","CIZ1",6
"2796","CKAP5",7
"2797","CKB",7
"2798","CKM",7
"2801","CKMT2",6
"2805","CLASP1",7
"2806","CLASP2",7
"2807","CLASRP",6
"2809","CLC",7
"2811","CLCA2",6
"2812","CLCC1",6
"2815","CLCN3",7
"2817","CLCN4",6
"2818","CLCN5",6
"2819","CLCN6",7
"2823","CLDN10",6
"2825","CLDN18",6
"2826","CLDN3",6
"2827","CLDN4",6
"2828","CLDN5",6
"2829","CLDN7",6
"2830","CLDN8",6
"2831","CLDN9",6
"2832","CLDND1",6
"2833","CLEC10A",6
"2834","CLEC11A",6
"2835","CLEC16A",7
"2836","CLEC2B",6
"2837","CLEC2D",7
"2839","CLEC4M",6
"2840","CLGN",6
"2842","CLIC2",7
"2843","CLIC4",7
"2844","CLIC5",7
"2845","CLINT1",7
"2846","CLIP1",7
"2847","CLIP2",7
"2848","CLIP3",6
"2849","CLK1",7
"2853","CLMN",7
"2857","CLOCK",7
"2858","CLP1",7
"2859","CLPP",6
"2861","CLPTM1",7
"2862","CLPX",7
"2864","CLSTN3",7
"2865","CLTA",7
"2866","CLTB",6
"2867","CLTC",7
"2868","CLTCL1",6
"2869","CLU",7
"2870","CLUAP1",7
"2871","CLUH",7
"2873","CMA1",7
"2876","CMKLR1",6
"2877","CMTR1",7
"2878","CNBP",7
"2879","CNGA1",7
"2882","CNIH1",7
"2883","CNIH3",7
"2884","CNKSR1",6
"2885","CNKSR2",6
"2887","CNN1",6
"2888","CNN3",7
"2889","CNNM2",7
